电影名称,英文名称,评分,上映状态,上线时间,上线地区,类型,电影链接,图片链接,导演信息
化身博士,Dr. Jekyll and Mr. Hyde,0.0,已上映,1920-03-28,美国,"剧情, 科幻, 恐怖",http://movie.mtime.com/20047,http://img31.mtime.cn/mt/2014/02/23/004645.97261404_1280X720X2.jpg,"{""导演名称"": """", ""导演英文名称"": ""John S. Robertson"", ""导演图片链接"": ""http://img31.mtime.cn/ph/1811/893811/893811_1280X720X2.jpg""}"
最后一夜,Last Night,0.0,已上映,1998-10-23,加拿大,"剧情, 科幻",http://movie.mtime.com/20012,http://img31.mtime.cn/mt/2013/07/05/065217.29328710_1280X720X2.jpg,"{""导演名称"": ""唐·麦凯勒"", ""导演英文名称"": ""Don McKellar"", ""导演图片链接"": ""http://img5.mtime.cn/ph/2017/11/23/105113.28852647_1280X720X2.jpg""}"
我娶了一个女巫,I Married a Witch,0.0,已上映,1942-10-30,美国,"爱情, 奇幻, 恐怖, 喜剧",http://movie.mtime.com/20056,http://img31.mtime.cn/mt/2014/02/23/004649.54704450_1280X720X2.jpg,"{""导演名称"": ""雷内·克莱尔"", ""导演英文名称"": ""René Clair"", ""导演图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/193104.85856044_1280X720X2.jpg""}"
妓女的儿子,Hurensohn,0.0,已上映,2004-01-27,德国,剧情,http://movie.mtime.com/20093,http://img31.mtime.cn/mt/2014/02/23/004709.10290554_1280X720X2.jpg,"{""导演名称"": """", ""导演英文名称"": ""Michael Sturminger"", ""导演图片链接"": ""http://img31.mtime.cn/ph/1777/907777/907777_1280X720X2.jpg""}"
精采的尸体,Cadaveri eccellenti,0.0,已上映,1976-05-26,法国,"惊悚, 悬疑, 犯罪",http://movie.mtime.com/20044,http://img31.mtime.cn/mt/2014/02/23/004642.85780847_1280X720X2.jpg,"{""导演名称"": ""弗朗西斯科·罗西"", ""导演英文名称"": ""Francesco Rosi"", ""导演图片链接"": ""http://img31.mtime.cn/ph/2015/01/11/101630.27400172_1280X720X2.jpg""}"
,Without Fear or Favor: The Best in Broadcast Journalism,0.0,已上映,2004-01-14,美国,纪录片,http://movie.mtime.com/20045,,"{""导演名称"": """", ""导演英文名称"": ""David Grubin"", ""导演图片链接"": ""http://img31.mtime.cn/ph/1436/907436/907436_1280X720X2.jpg""}"
,Auswege,0.0,已上映,,,剧情,http://movie.mtime.com/20055,http://img31.mtime.cn/mt/2014/02/23/004648.56073865_1280X720X2.jpg,"{""导演名称"": """", ""导演英文名称"": ""Nina Kusturica"", ""导演图片链接"": ""http://img31.mtime.cn/ph/1726/907726/907726_1280X720X2.jpg""}"
塞巴斯蒂安,Sebastiane,7.4,已上映,,,"惊悚, 剧情, 历史",http://movie.mtime.com/20046,http://img31.mtime.cn/mt/2014/02/23/004643.99479096_1280X720X2.jpg,"{""导演名称"": ""德里克·贾曼"", ""导演英文名称"": ""Derek Jarman"", ""导演图片链接"": ""http://img31.mtime.cn/ph/2014/06/11/172716.85689078_1280X720X2.jpg""}"
变形博士,Altered States,7.1,已上映,1980-12-25,美国,"奇幻, 剧情, 科幻, 恐怖",http://movie.mtime.com/20080,http://img31.mtime.cn/mt/2014/02/23/004704.28255294_1280X720X2.jpg,"{""导演名称"": ""肯·罗素"", ""导演英文名称"": ""Ken Russell"", ""导演图片链接"": ""http://img31.mtime.cn/ph/2015/10/16/114743.10925043_1280X720X2.jpg""}"
,Fette Welt,0.0,已上映,1998-08-15,瑞士,"爱情, 剧情",http://movie.mtime.com/20060,http://img31.mtime.cn/mt/2014/02/23/004652.93319896_1280X720X2.jpg,"{""导演名称"": ""让·斯楚特"", ""导演英文名称"": ""Jan Schütte"", ""导演图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/194228.54613511_1280X720X2.jpg""}"
大车队,Convoy,0.0,已上映,1978-06-28,美国,"动作, 剧情, 喜剧",http://movie.mtime.com/20068,http://img31.mtime.cn/mt/2014/02/23/004657.49419990_1280X720X2.jpg,"{""导演名称"": ""山姆·佩金法"", ""导演英文名称"": ""Sam Peckinpah"", ""导演图片链接"": ""http://img31.mtime.cn/ph/2016/02/21/100059.27515061_1280X720X2.jpg""}"
血染的季节,A Dry White Season,0.0,已上映,,,"惊悚, 剧情",http://movie.mtime.com/20008,http://img31.mtime.cn/mt/2014/02/23/004616.85470700_1280X720X2.jpg,"{""导演名称"": """", ""导演英文名称"": ""Euzhan Palcy"", ""导演图片链接"": ""http://img31.mtime.cn/ph/1579/899579/899579_1280X720X2.jpg""}"
花月,Fiorile,0.0,已上映,1993-03-26,意大利,剧情,http://movie.mtime.com/20058,http://img31.mtime.cn/mt/2014/02/23/004650.98234515_1280X720X2.jpg,"{""导演名称"": ""保罗·塔维安尼"", ""导演英文名称"": ""Paolo Taviani"", ""导演图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/193403.10609392_1280X720X2.jpg""}"
冰上特攻队,The Mighty Ducks,0.0,已上映,1992-09-20,美国,,http://movie.mtime.com/20069,http://img31.mtime.cn/mt/2014/02/23/004659.67965784_1280X720X2.jpg,"{""导演名称"": ""斯蒂芬·赫瑞克"", ""导演英文名称"": ""Stephen Herek"", ""导演图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/193437.47491268_1280X720X2.jpg""}"
吉姆老爷,Lord Jim,0.0,已上映,1965-02-25,美国,"剧情, 冒险",http://movie.mtime.com/20057,http://img31.mtime.cn/mt/2014/02/23/004650.20677677_1280X720X2.jpg,"{""导演名称"": ""理查德·布鲁克斯"", ""导演英文名称"": ""Richard Brooks"", ""导演图片链接"": ""http://img21.mtime.cn/ph/2012/04/25/114152.71701519_1280X720X2.jpg""}"
泰山王子,"Greystoke: The Legend of Tarzan, Lord of the Apes",0.0,已上映,1984-03-30,美国,"爱情, 剧情, 冒险",http://movie.mtime.com/20029,http://img31.mtime.cn/mt/2014/02/23/004630.60277381_1280X720X2.jpg,"{""导演名称"": ""休·赫德森"", ""导演英文名称"": ""Hugh Hudson"", ""导演图片链接"": ""http://img31.mtime.cn/ph/2014/02/22/193434.94768698_1280X720X2.jpg""}"
捍卫时空战士,No Escape,0.0,已上映,1994-04-29,美国,"动作, 科幻",http://movie.mtime.com/20070,http://img21.mtime.cn/mt/2010/04/29/155305.83285816_1280X720X2.jpg,"{""导演名称"": ""马丁·坎贝尔"", ""导演英文名称"": ""Martin Campbell"", ""导演图片链接"": ""http://img31.mtime.cn/ph/2014/04/01/175651.63206658_1280X720X2.jpg""}"
星际旅行：下一代,Star Trek: The Next Generation,0.0,已上映,1987-09-26,美国,"科幻, 冒险",http://movie.mtime.com/20097,http://img31.mtime.cn/mt/2014/02/23/004712.43261067_1280X720X2.jpg,"{""导演名称"": ""科里·艾伦"", ""导演英文名称"": ""Corey Allen"", ""导演图片链接"": ""http://img31.mtime.cn/ph/1625/897625/897625_1280X720X2.jpg""}"
